@RELATION interaction
 
@ATTRIBUTE C0 NUMERIC
@ATTRIBUTE C1 NUMERIC
@ATTRIBUTE C2 NUMERIC
@ATTRIBUTE C3 NUMERIC
@ATTRIBUTE TP {C0, C1, C2, C3}


@DATA
9.55,43.93,1.43,6.26,C1
1.21,15.9,3.77,4.82,C1
2.65,11.61,1.87,4.81,C2
4.4,0.0,1.76,18.46,C1
1.34,81.1,10.69,2.37,C1
20.87,0.0,4.5,7.23,C0
4.13,39.12,3.83,2.52,C1
6.38,0.0,0.0,1.84,C0
9.23,0.0,0.0,21.63,C3
1.36,14.69,2.65,2.43,C1
0.0,0.0,0.0,14.0,C3
1.33,22.36,1.67,4.48,C1
3.69,3.19,3.28,2.38,C1
0.0,0.0,0.0,26.32,C3
2.69,0.0,0.0,29.38,C3
5.31,7.64,4.45,4.85,C1
3.5,31.65,6.61,4.48,C2
2.49,3.64,9.04,2.44,C1
16.86,0.0,1.66,24.13,C2
0.0,0.0,0.0,8.53,C0
16.2,0.0,0.61,3.92,C0
0.0,0.0,0.0,16.22,C3
2.92,0.0,0.0,10.92,C3
2.71,0.0,0.0,2.44,C0
3.32,35.93,0.78,6.5,C1
1.32,0.0,1.49,4.52,C2
9.36,10.38,5.1,4.44,C2
2.68,40.37,0.94,2.5,C1
13.11,19.16,1.85,7.3,C1
2.55,3.98,1.85,2.35,C1
3.8,18.97,2.79,2.39,C1
12.07,0.0,7.39,7.65,C2
5.0,75.37,5.42,38.75,C2
4.03,20.04,0.94,2.49,C1
2.79,20.43,8.72,3.7,C1
2.57,26.7,2.7,2.09,C2
2.71,0.0,1.86,2.42,C2
2.49,29.49,3.22,2.14,C1
2.6,0.0,4.66,2.44,C0
1.39,19.5,3.68,2.49,C1
2.64,81.33,1.9,2.29,C1
0.0,0.0,0.0,14.85,C0
0.6,0.0,0.0,13.67,C3
2.69,19.89,1.9,12.57,C1
7.84,0.0,0.0,17.58,C2
2.79,63.74,3.81,2.51,C1
3.36,28.1,1.3,6.52,C1
14.34,7.01,1.88,12.21,C1
5.07,35.48,1.37,9.6,C2
1.35,0.0,0.0,28.82,C0
5.53,0.0,1.96,40.06,C2
6.26,0.0,0.0,2.48,C0
9.56,16.47,3.88,9.88,C0
2.46,0.0,4.68,2.07,C2
3.3,0.0,0.0,4.41,C3
2.5,15.2,2.69,2.36,C1
20.19,28.75,0.83,25.52,C1
2.61,19.02,7.45,12.06,C2
2.05,0.0,0.0,4.25,C2
4.23,24.32,5.73,2.53,C2
4.77,0.0,0.62,11.19,C2
13.83,8.22,1.96,5.02,C1
6.54,0.0,0.0,29.12,C3
3.61,13.65,6.09,4.39,C1
13.99,4.02,5.79,5.02,C1
9.83,52.17,6.32,7.25,C2
4.12,0.0,2.91,7.3,C2
15.88,0.0,5.93,9.33,C3
9.2,0.0,0.91,37.11,C2
2.8,33.03,1.97,2.54,C1
12.29,0.0,1.87,2.5,C0
1.35,60.85,20.32,9.76,C1
5.46,8.07,15.53,7.53,C1
2.48,0.0,0.0,19.37,C0
9.42,0.0,3.09,6.02,C3
4.0,0.0,0.0,12.97,C0
2.68,0.0,1.77,2.44,C2
2.7,28.13,1.9,2.51,C1
1.36,16.06,0.92,7.49,C1
3.6,30.59,0.9,9.06,C1
1.18,0.0,3.49,1.95,C0
5.25,15.53,0.95,35.38,C1
9.14,0.0,0.0,9.33,C3
5.07,29.15,7.31,7.19,C2
2.24,0.0,0.0,20.78,C3
